plz;supermarkt;adresse
22848;Sönmez Markt;Schmuggelstieg 3
22848;Aldi;Ohechaussee 26
22850;Edeka Hayunga;Kohfurth 15
22850;Aldi;Kösliner Weg 6
22850;Lidl;Kohfurth 5
22850;Netto;Segeberger Chaussee 93
22850;Penny;Segeberger Chaussee 73-75
22851;Penny;Mittelstraße 66
22851;Nahkauf;Poppenbütteler Straße 174
22851;Aldi;Mittelstraße 76A
22851;Lidl;Segeberger Chaussee 173-175
22851;Rewe;Segeberger Chaussee 138
22851;Netto;Tangstedter Landstraße 545-547
22869;Aldi;Hauptstraße 58
22869;Lidl;Altonaer Chaussee 14
22869;Aldi;Friedrich-Ebert-Allee 21
22869;Penny;Friedrich-Ebert-Allee 29
22869;Rewe;Friedrich-Ebert-Allee 3
22880;Aldi;Feldstraße 5
22880;Famila;Rissener Straße 105
22880;Aldi;Rissener Straße 125
22880;Lidl;Rissener Straße 112
22880;IK - Ihr Kaufmann;Hasenkamp 1
22880;ALDI;Am Marienhof 1
22880;nahkauf;Feldstraße 90
22880;Donald Kleinwort;Hafenstraße 19
22880;Netto;Hans-Böckler-Platz 2
22880;EDEKA;Am Marienhof 3
22885;Penny;Hauptstraße 38c
22885;ALDI;Am AKKU 7
22885;Rewe;Am AKKU 5
22889;Aldi;Eichholzkoppel 2
22926;Aldi;Kornkamp 46 g
22926;Aldi;Große Straße 26
22926;Famila;Kornkamp 50
22926;E aktiv markt Strehl;Dänenweg 12
22926;Asia Markt Ahrensburg;Rathausstraße 8
22926;Rewe;Vogteiweg 60-62
22926;Lidl;Hamburger Straße 71
22926;Edeka;Bahnhofstraße 17
22926;NETTO;Reeshoop 47
22926;Aldi;Bogenstraße 30
22927;Penny;Eilbergweg 16
22927;EDEKA Reinhardt;Hansdorfer Landstraße 140
22927;Penny;Sieker Landstraße 118
22927;Aldi;Eilbergweg 10
22941;Penny;Rathausstraße 11
22941;Famila;Am Redder 2
22941;Lidl;Zu den Fischteichen 1a
22941;Aldi;Poggensiek 2
22941;Aldi;Otto-Hahn-Straße 2
22946;Edeka Süllau;Schulstraße 2
22946;ALDI;Vorburgstraße 1
22946;Famila;Großenseer Straße 7b
22949;Das Futterhaus;Hamburger Straße 105
22949;Edeka Martens;Georg-Sasse-Straße 35
22949;Lidl;Ferdinand-Harten-Straße 2-6
22949;Netto;Weg zu den Tannen 1
23552;Unverpackt Lübeck;Fleischhauerstraße 38
23552;Syria Markt;Königstraße 104
23552;Aldi;Kanalstraße 76
23554;NORMA;Memelstraße 
23554;Lidl;Schwartauer Landstraße 6
23556;Aldi;Ziegelstraße 2b
23556;REWE Center;Ziegelstraße 232
23556;Lidl;Krempelsdorfer Allee 32-36
23556;CITTI-Markt Lübeck;Herrenholz 14
23556;PENNY Markt Buntekuh-Center;Ziegelstraße 232
23556;Lidl-Markt;Ziegelstraße 113-119
23556;EDEKA center Lübeck;Ziegelstraße 2-8
23558;Andronaco;Töpferweg 57
23558;Aldi;Hansering 9-19
23560;Rewe;Kronsforder Allee 74
23560;Rewe;Andersenring 3
23560;PENNY Markt Märchenviertel;Andersenring 30
23560;Aldi;Brüder-Grimm-Ring 9
23562;Lidl;Osterweide 12
23562;Rewe;Krummeck 13
23562;ALDI Markt;Weidentrift 2
23564;Nahkauf;Pelzerstraße 14b
23566;Rewe Center;Kantstraße 15-17
23566;Aldi;Kantstraße 22
23566;KRÜMET Sonderposten;Im Gleisdreieck 19a
23566;Rewe;Brandenbaumer Landstraße 261
23566;JAWOLL-Sonderpostenmarkt;Grootkoppel 4-6
23568;LANDWEGE;Heiligen-Geist-Kamp 4a
23568;netto;Mecklenburger Straße 156-164
23568;Rewe;Glashüttenweg 30-32
23569;Lidl;Solmitzstraße 26
23570;Rewe;Gneversdorfer Weg 3
23570;Lidl;Gneversdorfer Weg 28
23611;ALDI Markt;Eutiner Ring 14
23611;Landwege;Eutiner Ring 2
23611;Rewe;Lübecker Straße 2
23611;Penny;Hauptstraße 50
23611;Netto;Zollweg 3
