plz;supermarkt;adresse
14467;Lebensquell Biomarkt;Hegelallee 23
14467;Ledo;Am Kanal 50
14467;Netto City;Brandenburger Straße 35
14469;Aldi Nord;Georg-Hermann-Allee 145
14469;Bio Company;Nedlitzer Straße 19
14469;Penny;Alexander-Klein-Straße 4
14469;Rewe;Nedlitzer Straße 19c
14471;Netto;Breite Straße 27
14471;Rewe;Breite Straße 27
14473;Bio Company;Babelsberger Straße 16
14473;LUX Markt;Lotte-Pulewka-Straße 4
14473;Verbraucherzentrale Beratungsstelle Potsdam;Babelsberger Straße 18
14476;Penny;Potsdamer Chaussee 102
14478;DHL;Schilfhof 22
14478;Edeka;Zum Teufelssee 8
14478;Kaufland;Am Moosfenn 1
14480;NP;Konrad-Wolf-Allee 1-3
14480;Nahkauf;Galileistraße 16
14480;Penny;Neuendorfer Straße 15
14480;REWE;Johannes-Kepler-Platz 5
14480;Rewe City;Anni-von-Gottberg-Straße 8
14480;real;Stern-Center 1-10
14482;EDEKA;Marlene-Dietrich-Allee 15
14482;Edeka Meinke;Alt Nowawes 65
14482;Edeka;Rudolf-Breitscheid-Straße 29
14482;Netto Marken-Discount;Stephensonstraße 11
14532;Aldi Nord;Förster-Funke-Allee 104
14532;Edeka Center;Adolf-Grimme-Ring 8
14542;Kaufland;Auf dem Strengfeld 6
14542;Lidl;Berliner Straße 88
14542;Norma;Zum Großen Zernsee 3
14542;Rewe;Zum Großen Zernsee 3
14542;denn's Biomarkt;Auf dem Strengfeld 6
14547;NA;Wittbrietzer Straße 5a
14547;Rewe Nahkauf;Am Markt 1
14550;biogartenladen.de;Göhlsdorfer Straße 45
14554;IK Ihr Kaufmann;Hauptstraße 17
14612;Aldi;NA NA
14612;Aldi;Spandauer Straße 112
14612;Rewe;NA NA
14612;denn's Biomarkt;Bahnhofstraße 79-81
14624;Alnatura;Bahnhofstraße 135
14641;Lidl;Berliner Straße 38-42
14641;famila;Schillerstraße 2
14662;ALDI Nord;Klessener Straße 36
14669;Edeka Dorfmann;Rathausstraße 2
14669;Netto;Falkenrehder Chaussee 14
14712;Bio Insel;Rhinower Straße 10
14712;Kaufland;Schwedendamm 3
14712;OK Sonderpostenmarkt;Am Hafen 6
14712;Rewe;Fehrbelliner Straße 39
14715;NP;Friedensstraße 39
14727;NP-Markt am Dachsberg;Karl-Marx-Straße 14 A
14770;NA;Willi-Sänger-Straße 46A
14770;NA;Willi-Sänger-Straße 66
14770;Netto Marken-Discount;Magdeburger Landstraße 190
14772;Penny;Veilchenweg 2
14772;Real;Brielower Landstraße 29
14772;Rewe;Tschirchdamm 8
14772;Rewe;Veilchenweg 2
14772;Salam Orientalischer Markt;Rosa-Luxemburg-Allee 2
14789;EDEKA;Ernst-Thälmann-Straße 7
14798;Kanuverleih Havelse(h)en Kahntouren;Kietzstraße 18
14806;EDEKA Neukauf;Weitzgrunder Straße 2
14806;Edeka;Friedrich-Schiller-Straße 42
14806;NETTO;Brücker Landstraße 1d
14913;Lidl;Vorstadt Neumarkt 5
14913;Prima Markt;Treuenbrietzener Straße 24
14913;Rewe;Große Straße 64
14943;Edeka;Neue Beelitzer Straße 19
14943;Marktkauf;Frankenfelder Chaussee 7
14943;Netto Marken-Discount;Jüterboger Straße 16
14943;Netto;Neue Beelitzer Straße 8-9
14974;Edeka Center Specht;Potsdamer Straße 60
14979;Netto;Berliner Straße 96a
15232;Netto;Spartakusring 20
15234;Kaufland;Josef-Gesing-Straße 6
15234;Netto;Markendorfer Straße 16A
15234;Norma;Markendorfer Straße 20
15234;Rewe;Hansaplatz 5
15234;real,-;Messering 10
15299;Norma;Frankfurter Straße 96
15306;Aldi;Diedersdorfer Straße 12B
15306;Kaufland;Diedersdorfer Straße 12A
15320;Rewe;Karl-Marx-Allee 6a
15326;Norma;Gewerbepark Kirschallee 1c
15328;Trinx Welt;c(14.5481893, 52.5676687) 1879333193
15344;Edeka;Große Straße 73
15344;Netto Marken-Discount;Philipp-Müller-Straße 33
15344;Norma;Herrenseeallee 15
