30163;Tante-Emmer-Laden;Wittekamp 24
30167;denn's Biomarkt;Engelbosteler Damm 20
30169;Rewe City;Hildesheimer Straße 27-29
30169;Rewe;Hildesheimer Straße None
30171;Edeka;Schlägerstraße 42
30171;Netto;Tiestestraße 2
30171;denn's Biomarkt;Marienstraße 51
30171;Lola - Loseladen;Stephansplatz 13
30171;Reformhaus Bacher;Stephansplatz 41
30173;Edeka;Mendelssohnstraße 26
30179;Rewe;Holzwiesen 86
30179;Lidl;Dresdener Straße 3
30179;Aldi;Vahrenwalder Straße 252
30179;Mix Markt;Vahrenheider Markt 6
30179;Halil Erol Yunus Market 2;Zwickauer Straße 22
30179;Dost Market;Vahrenheider Markt None
30449;Rewe City;Schwarzer Bär 4
30449;Rewe;Göttinger Straße 30
30459;NP;Pfarrstraße 41
30459;NP Markt;Hahnensteg 39
30459;"ML-CityMarkt ""Хозяин""";WP-Eberhard-Eggers-Platz 123
30625;Aldi;Kirchröder Straße 91-92
30625;Edeka;Berckhusenstraße 23-25
30627;Penny;Rotekreuzstraße 12
30827;NP;Dorfstraße 2a
30853;Aldi;Am Pferdemarkt 9a
30853;Yunus Market;Rathenaustraße 15B
30890;Woolworths;Marktstraße 38
30938;Frisch-Markt;Wallstraße 18
30938;Frischemarkt Pagel;Mellendorfer Str. 36a
30974;Naturkost an der Sonnenuhr;Hauptstraße 2b
30982;Lidl;Göttinger Straße 13
30982;Rewe;Auf der Burg 6
30982;NP;Hauptstraße 30a
30982;Aldi;Johann-Koch-Straße None
31036;NP;Hauptstraße 19a
31061;Zauberwurzel;Kurze Straße 11
31079;Netto;Lindenhof 4
31084;NP - Niedrig Preis;Alfelder Straße 22
31134;Netto Marken-Discount;Wallstraße 4
31134;Hopfen & Happen;Wallstraße 12
31137;Kaufland;Römerring 8
31137;Penny;Phoenixstraße 8
31137;Rewe;Phoenixstraße 4
31137;Netto;Steuerwalder Straße 146
31139;Edeka;Geschwister-Scholl-Straße 1
31139;denn's Biomarkt;Alfelder Straße 56p
31171;Netto;Hauptstraße 96
31171;Rnah;Kirchstraße 10
31188;Edeka;Marktstraße 25
31224;Euro Shop;Gröpern 13
31234;Rewe;Peiner Straße 25a
31241;REWE Supermarkt;Eichstraße 12
31241;LIDL;Zum Wasserturm None
31241;Rewe Getränkemarkt;Eichstraße 12
31246;Netto Marken-Discount;Osterfeld 4
31303;LIDL;Uetzer Straße 2
31303;Edeka;Weserstraße 2
31311;nah und gut Frischmarkt Axel Schumann;Fuhsestraße 29
31311;EDEKA Habel;Am Kindergarten 4
31542;Penny;Hauptstraße 20
31542;Rewe;Kurhausstraße 4
31553;Penny;Obere Straße 32
31582;famila;Lemker Straße 20
31582;Rewe;Hannoversche Straße 56
31582;Yasar Marketim;Verdener Straße 18
31582;Der Bioladen;Marktplatz 3
31582;Netto Marken-Discount;Lange Straße 75
31595;Penny;Stolzenauer Straße 8
31606;Heineking Frischemarkt Warmsen;Zur Linde 30
31636;Dorfladen Linsburg;Grund 7
31655;Rewe;Jahnstraße 35
31655;Kaufland;Am Helweg 4
31655;Lidl;Breslauer Straße 4
31655;Böhne;Niedernstraße 5
31683;nah&frisch Markt Grimm;Henriettenstraße 2-4
31691;Edeka Köpper;Bergkrug 5
31700;Bioasis 3;Avenue Émile Dewoitine 6
31700;Biocoop;Rue Henri Matisse 2
31700;Carrefour Contact;Route de Grenade 2
31700;AuBio Arcadie;Route de Grenade 223
31737;WEZ;Detmolder Straße 35
31749;Penny;Rehrener Straße 43
31749;Dorfladen;Rolfshagener Straße 59
31785;Real;Pferdemarkt 1
31785;BioMarkt Hameln;Deisterstraße 90
31785;Tinte Toner Hameln;Baustraße 9
31785;Kassenhaus Hameln;Baustraße 9
